vertical	returned_qty
VitaminsSupplements	1
Xylophones	1
BabyCare	1
Keys&Synthesizers	1
BabyGirlShoeMisc	1
InfantBlazer	1
Pianos	1
PreciousGiftVouchers	1
GirlWaistcoat	1
GirlThermal	1
Rusks	1
Sarods	1
Gadulkas	1
Chyawanprash	1
Fruits	1
Vegetables	1
GraduationGowns	2
InfantFormula	2
HairFragrance	2
InfantBoxer	2
BoyTight	2
ShoppingCartCovers	2
RiceRiceProducts	2
TaggingGuns	2
BoyCap	2
BoyBrief	2
WipeWarmers	2
BabyBoyBooty	2
GirlDungaree	3
EarringThreeD	3
Photocopier Machines	3
Pungis	3
VendingMachines	3
GirlBlazer	3
Cables&Connectors	3
DigitalEbook	4
GirlsUniform	4
CompassSet	4
GirlKaftan	4
BoyTrackTop	4
Shehanais	4
Hand/ClashCymbals	5
KidAccessory	5
WetReminders	5
Bagpipes	5
RingThreeD	5
HealthDrinkMixes	6
GirlPanty	6
Marbles	7
Conches	7
GirlEthnicSet	7
BabyBoyShoeMisc	7
DigestivesProbiotics	7
FryumsPapads	7
Cajons	7
Ektaras	7
GirlShort	8
Concentrates	8
FoodAdditives	8
GirlTrackTop	8
GirlVest	8
BabyGirlCasualShoe	8
BoyBoxer	9
BoyCapri	9
Radiometers	9
InfantNightSuit	10
ReadyMeals	10
Stamp	10
ChewingGums	10
Mandolins	10
Studio/StageEquipment&Accessories	11
Mridangams	11
Mehendi	11
Popcorn	11
BoyShort	11
BuntingBags	12
Violas	12
DraftingKits	12
ReadyMixes	12
AeratedDrinks	13
PendantLocketThreeD	15
GirlCargo	15
HandFans	16
BoysUniform	16
MagicSprings	16
GuitarStringWinders	17
BabyBoyCasualShoe	17
GirlCapri	17
BoyTrackPant	18
BraCharmBrooch	18
ElectricGuitars	18
Rice	19
Bugles	19
GirlShoeMisc	19
BabyBathBubble	19
EarSyringes	20
Pasta	21
GirlSportShoe	21
Clarinets	21
Soup	22
CrossTrainer	22
GirlBlouse	23
BabyCereals	23
PercussionPads	23
MensDungaree	25
BathBubble	27
BabyMonitor	28
Noodles	28
WeatherStation	29
BoyShoeMisc	30
Recorders	30
Ghee	30
CornFlakes	30
SpecsLensCleaners	31
Saxaphones	31
StrollerPramPads	31
CashRegisters	31
BoyEthnicWear	32
BoyJumpsuit	34
GirlSlipperAndFlipFlop	34
Trumpets	35
BathEssentialOil	35
InfantPoloTShirt	35
GrainsMillets	36
Keepsake	38
WomenShirtTopTunic	42
BabyGirlSandal	44
BoySlipperAndFlipFlop	44
PreciousJewellerySet	44
ShrutiBoxes	46
FitnessAccessory_Pedometer	47
DrumKits&Sets	47
Muesli	47
DalsPulses	48
WafersWaffles	51
OtherBreakfastMixesCereals	54
FloursSooji	54
BabyKneePad	55
Shakers	56
WomenSareeFall	57
Djembes	57
Golf_Equipment	57
BabyFoodMaker	58
BabyBoySandal	59
WomenLegWarmer	60
LuggageCover	61
WomenCholi	66
PlaygroundActivitySets	67
PreciousMangalsutraTanmaniya	67
Condiments	69
WomenTrackTop	70
SparePartsAccessories	71
Salt	74
Food&NutritionCombo	74
PersonalSecurityAlarm	80
Chips	80
WaterSport_Equipment	82
KidWallDecoration	84
BoySportShoe	85
BoyTrunk	91
SexualComboAndKit	91
GirlNightSuit	92
GirlTop	95
GirlPoloTshirt	97
Damarus	98
CorrectionStationery	98
BoyNightSuit	99
Tampon	100
HangDrums	102
CandiesMouthFresheners	103
BakingIngredientsDecoratives	106
GiftWrapper	107
InfantKurta	109
KidFootwearMisc	113
SugarSweeteners	114
MilkStorageBag	117
JamsSpreads	118
SchoolRuler	119
BathSponge	119
Tambourines	124
GirlBodysuit	128
PlateTableware	129
SavouriesNamkeens	132
PreciousArticle	136
ECigarette	136
WomenEthincBottom	140
EdibleOils	142
Honey	144
BoyBloomer	145
SpicesMasala	147
InfantCapri	149
SchoolBadge	154
UnisexUniform	154
Ukeles	154
PicklesChutneys	156
GirlTunic	157
HealthCareDevice	161
SweetsMithai	162
FeedingCloaks	162
BabyPhotoAlbum	163
BabyGirlBooty	170
BoySwimsuit	172
GirlBloomer	172
OtherFurnitureDecoration	174
Archery	175
BoySherwani	177
BoyBodysuit	183
PreciousNoseRingStud	186
Cycling_ToolKit	186
Pantyliner	189
MensShawl	190
Treadmill	192
Oats	195
InfantMitten	205
MenGroomingAccessory	211
PreciousPendantLocket	217
Bongos	218
Harmoniums	220
BoyKurta	224
CarSeat	226
Violins	228
BoyBooty	228
KidHandkerchief	231
PreciousNecklaceChain	234
GirlSock	234
Tablas	235
GirlTrackSuit	235
Mouthwash	237
CottonBud	242
BabyBedsheet	254
BoyPoloTShirt	258
PreciousBangleBraceletArmlet	262
FeedingNursing	265
KidsFabric	267
MensTurban	270
BabyChair	272
FertilityKit	281
WomenMuffler	281
PowderPuff	284
MilkMilkPowder	287
WomenSarong	290
MenShoe_Misc	292
Drums&Percussion	296
DipsSaucesPastes	296
BoyBlazer	297
WomenBoxer	313
TrackField	313
GirlBooty	327
GirlLeggingJegging	331
Hockey	336
NailCutter	350
InfantLeggingJegging	356
LabellingMachine	364
InfantSkirt	373
GirlStocking	374
FruitDrinks	375
InfantJean	384
MenstrualCups	404
PreciousEarring	407
MakeupRemover	408
MensSwimsuit	413
GirlKurta	420
PublicAddressSystem	423
InfantTrouser	425
FacialSteamers	429
BoySuit	453
BreathFreshener	458
MensTight	460
TiePin	460
InfantBrief	472
GirlInnearwearSleepwear	481
Ghungroos	481
PartyAccessory	486
PreciousJewellery	488
BoySock	488
WomenApparelAccessory	497
InfantBloomer	497
InfantLehengaCholi	499
GirlEthnicWear	502
MaternityBelt	507
WomenCargo	509
SterilizerWarmer	513
CampingHiking_ToolKit	526
LabEquipment	528
Dholaks	533
Briefcase	548
Bindi	551
BoyRaincoat	551
HealthSafety	553
GirlSwimsuit	555
CookiesBiscuits	556
BoyTrackSuit	556
GirlComboSet	558
Football_Misc	578
Sindoor	578
WomenSuit	594
GirlRaincoat	602
BoyComboSet	612
CampingHiking_Equipment	614
OralCare	649
DentalFlossStick	657
GirlShrug	657
SchoolSupplyToy	667
ReturnGiftAccessory	676
Lock	686
BabyBathRobe	697
GirlTight	701
TravelShavingKit	715
Stapler	716
BabyProofing	725
Yoyo	747
InfantSock	753
CotBassinet	755
GirlPyjama	762
PreciousRing	763
WomenWaistcoat	766
InfantShirt	767
MensLungi	768
LensSolution	785
MedicalEquipment&Accessories	789
MensEthnicwear	789
BoyCargo	796
PleasureEnhancement	828
BodyArt	857
BibHankies	858
Knuckle	860
ELearning	860
Eraser	868
InfantTrackPant	875
Potlis	898
BoyPyjama	907
StackingToy	907
InfantSweatshirt	924
BodyPainRelief	934
BreastPump	938
PocketWatch	947
PreciousAccessory	947
GirlLehengaCholi	964
InstrumentHardware	965
InfantWear_Misc	972
InfantThermal	985
Toothpaste	1001
TeetherSoother	1005
TailoringEmbroidery	1013
BathSalt	1021
BathAndSpa	1028
GagToys	1043
WomenPetticoat	1057
Toothbrush	1074
MensNightSuit	1093
BoyWaistcoat	1113
Baseball	1120
GirlKurti	1135
OtherSchoolSupplyToy	1147
WomenPoncho	1151
SleepingBag	1166
WomenComboSet	1170
WomanHygiene	1171
SchoolUmbrella	1174
HairVolumizer	1194
SafetyLockAndStrap	1213
MensScarf	1216
GarbageBag	1234
SlimeandPuttyToys	1243
BabyBodyWash	1251
ShowerCap	1278
GirlTrouser	1282
Body	1287
ChessBoard	1290
BoyEthnicSet	1335
BreastNippleCare	1355
BabyBathSeat	1357
CellTapeAndDispenser	1363
RacquetSport_Misc	1367
WaistBag	1369
StunGun	1386
BabyRattle	1396
KidClothing_Misc	1417
InfantJacket	1447
CribToyPlayGym	1456
MensSherwani	1471
Henna	1481
MensMuffler	1482
Coffee	1497
ExerciseBike	1499
EdibleSeeds	1513
AbayaAndBurqa	1515
MassageOil	1520
DiaperDisposalBins	1525
Magnifier	1538
Cleaner	1541
WomenTrackSuit	1566
ShavingCreamFoamAndGel	1569
CribsCradle	1606
BabyBed	1627
InfantTop	1643
CampingHiking_Carabiner	1653
InfantShort	1667
IndoorSport	1675
OfficeMultiUtilityKnive	1687
MensPocketSquare	1716
Hobos	1740
IronBaton	1741
MensAccessory	1760
Cricket_Helmet	1820
GirlShirt	1848
Music	1849
Medicines&Treatment	1866
WomenCorset	1869
InfantPyjama	1879
BathToy	1881
InfantCap	1900
WomenGlove	1907
InfantVest	1917
Scissor	1925
Coin	1935
Cufflink	1955
Talc	1961
Carrom	2018
SanitaryPad	2034
BabySoap	2052
Lubricant	2055
Utensil	2061
Bouncer	2066
Curtain	2087
WomenChuridar	2112
FootCare	2137
Cycling_Equipment	2144
WomenBag	2240
MensTrackTop	2249
SchoolLunchBox	2254
MusicalKeyboards	2293
WomenSwimsuit	2298
WomenSalwar	2325
KidOralCare	2402
MensDhoti	2420
ElectronicHobbyKits	2424
BathTub	2426
BabySleepingBag	2429
BabyBathTowel	2435
GirlSalwarKurta	2527
PregnancyKit	2530
WomenRaincoat	2537
TravelOrganizer	2550
Tennis	2582
GirlJumpsuit	2590
Fishing	2595
Harmonicas	2624
MensCardigan	2668
KidCostumeWear	2670
Tea	2694
WomenThermal	2747
Mattress	2757
FitnessAccessory_Grip	2866
BodySkinTreatment	2924
StrollerPram	2946
FootwearAccessory	3063
BoyWinterSeasonalWear	3070
NutsDryFruits	3092
GirlWinterSeasonalWear	3128
TravelToiletKit	3156
PepperSafetyDevice	3200
BoardsAndDusters	3218
CampingHiking_Tent	3256
TravelDocHolder	3280
PottyBox	3284
GirlSweatshirt	3287
TableTennis	3287
GirlSkirt	3342
MensSuit	3427
WorldwideTravelAdaptor	3460
Flutes	3483
Pillow	3571
BirthdayCombo	3573
BabyBlanket	3613
MensHandkerchief	3698
Paper	3728
GirlDress	3790
WomenShawl	3810
MensGlove	3849
HandCare	3908
WomenCapHat	3911
MensWindCheater	3962
WomenBlazer	4001
Movie	4006
Cricket_Equipment	4010
Chocolates	4020
GirlJacket	4047
WomenKaftan	4070
InfantBodysuit	4127
GirlJean	4140
BalloonDecoration	4176
OtherSport	4243
LotionCream	4267
MensComboSet	4332
WomenHaremPant	4340
TravelFlashLight	4357
FitnessAccessory_FitnessBand	4418
BabyChangingStation	4466
ArtificialNoseRingStud	4498
Walker	4561
AcousticGuitars	4617
Satchels	4645
GarmentCover	4661
BabyComboGiftSet	4733
HealthCareAccessories	4778
RazorAndBlade	4842
BoyTrouser	4861
WomenCardigan	4876
BottleAccessory	4915
BiometricDevices	4918
BoySweatshirt	4965
Swimming	5051
PunchingBag	5138
NeckPillowAndEyeShade	5138
BabyShampoo	5143
InfantDungaree	5174
FitnessAccessory_Pump	5275
Suspender	5276
EyeCare	5296
WomenCoat	5323
MensWinterwearSeasonalwear	5348
InsectRepellent	5356
InflatableProduct	5407
BoyJacket	5422
WomenLehenga	5453
BodyWash	5507
GirlCasualShoe	5518
FitnessAccessory_Goggle	5560
FitnessAccessory_Net	6017
HealthCareAccessory	6076
MiscEquipment	6121
BathAndSpaAccessory	6246
MensBandana	6382
Grooming	6468
WomenPyjamaLoungePant	6481
ArtificialAccessory	6538
BoardGame	6621
BabyBeddingSet	6651
BodyAndSkinAccessory	6761
WomenTShirt	6787
Conditioner	6843
MiscStationary	6868
SchoolAccessories	6868
MensPyjama	6962
WomenSportSandal	6994
StringInstruments	7060
GirlsEthnicSet	7136
TravelPouche	7377
CarrierCuddler	7455
SchoolPencilBox	7496
ArtSupply	7791
WomenEthnicLeggingJegging	7795
DeskOrganizers	7845
DollsAccessories	7859
FilesAndFolder	7875
WomenTight	7899
HairOil	7963
ArtificialAnklet	7982
RolePlayToy	7997
TeamSport_Other	8111
TravelBag	8248
Cricket_Ball	8525
FashionAccessory	8674
Skating	8835
WomenSockStocking	8871
FragranceGiftSet	8876
InfantComboSet	8885
HairColor	8896
MensTrunk	9063
Shuttle	9278
ArtificialMangalsutraTanmaniya	9457
WomenFormalShoe	9580
FitnessEquipment_Misc	9635
WomenLingerieAccessory	9778
MensPullover	9876
WomenPatiala	9914
InfantEthnicSet	10048
ActionFigure	10280
MensCargo	10341
WomenDupatta	10343
SkippingRope	10452
PartySupply	10643
Cycle	10717
LipCare	10799
WomenBabydoll	10953
FashionLaptopBag	11005
BoyCasualShoe	11101
WomenScarveStole	11120
BoyJean	11198
MakeupKit	11241
MessengerBag	11393
MensFabric	11397
FitnessAccessory	11680
ArtCraftKit	11706
VanityBox	12079
MensThreeFourth	12360
Calculator	12531
MedicineTreatment	13032
ContactLenses	13333
BattleToy	13454
FitnessAccessory_SportMat	13583
GirlsTop	13695
WomenSandalMisc	13956
Soap	14003
BodyAndSkinTreatment	14504
Aftershave	14544
HairAccessory	14627
DiaryNotebook	14654
OutdoorToy	14953
MensTie	15060
GirlsTShirt	15069
HairSerum	15180
MensInnerwearSleepwear	15251
WomenTrackPant	15327
WomenCamisoleSlip	15750
BoyShirt	15813
WomenSweaterPullover	15918
MenBag	16398
SchoolWaterBottle	16412
MenEthnicShoe	16424
MensWaistcoat	16602
Totes	17313
DigitalEGiftVoucher	17646
MensEthnicSet	17923
WomenSportBra	18031
WomenBlouse	18280
InfantDress	18386
BodyEssentialOil	18857
FitnessAccessory_Bottle	19280
MensSportsJacket	20210
TeamSport_Ball	20485
HairTreatment	20711
WatchAccessory	20852
Rucksack	20853
MusicalToy	20934
WomenNightSuit	21301
Suitcase	21422
GirlSandal	21698
MosquitoNet	21873
MensTrackSuit	21880
Toy	22596
WomenShort	22741
GirlsLehengaCholi	22752
WomenTunic	22973
WomenCapri	23188
Nail	23205
VitaminSupplements	23281
OutdoorAdventure	24242
WalletCardHolder	24347
DuffelBag	24435
MensRaincoat	24441
WomenLoafer	24787
GirlClothing	24857
WomenLingerieSet	25080
Strength	25477
WomenBoot	26198
HairCareAccessory	26366
VehiclePullAlong	26418
CardHolders	26688
AbExerciser	26792
Sports_Footwear	27211
Shampoo	27819
GirlShoe	27987
WomenEthnicSet	28080
BoySandal	28514
WomenJumpsuit	28918
MensBoxer	28999
HairStyle	29059
MensBrief	29893
WomenSweatshirt	30396
MakeupAccessory	30604
BoyClothing	31259
PenAndPencil	32159
ComboAndKit	33647
SchoolBag	35075
Condom	35993
WomenShrug	36094
StuffedToy	36535
LearningToy	37429
Frame	37869
MensKurta	38345
PuzzleBoardGame	38355
Nappy	38764
MensBlazer	39301
OfficeSupplyMisc	39386
FitnessAccessory_Support	39779
WomenSkirt	40286
WomenPanty	40906
MensVest	41100
FitnessAccessory_SportGlove	42906
Face	43758
NA	45732
Football_Ball	48126
WalletClutch	48457
Perfume	49701
BodyCare	49790
WomenShapewear	49955
BoysEthnicSet	50853
Badminton	52325
WomenSlipperFlipFlops	52444
Cricket_Bat	54993
BoysTShirt	56656
FitnessAccessory_SportBag	56845
WomenEthnicWear	57392
Eye	57882
WomenJacket	58229
MensSweater	61667
ArtificialPendantLocket	62232
ProteinSupplement	65904
WomenTrouser	66492
ArtificialNecklaceChain	67998
WomenSportShoe	69079
WomenLeggingJegging	69799
WomenSalwarKurtaDupatta	70193
MensSportwear	70416
Lip	72110
HairCare	74263
Deodorant	74867
WomenShirt	76624
MensShort	76849
WomenBellies	78014
WomenNightDressNighty	79207
MensCap	81163
RemoteControlToy	83099
WomenPoloTShirt	83897
MensSock	85060
SlingBag	86111
ShoulderBag	89851
ArtificialEarring	97307
ArtificialBangleBraceletArmlet	97836
GirlsDress	101247
HandBag	103950
WomenWedge	105227
SpiningPressLaunchToy	108805
ArtificialRing	116997
WomenHeel	117504
BoyShoe	119123
MensTrackPant	121458
MensShirt	121758
WomenJean	131381
WomenBra	135197
FashionBelt	135523
ArtificialJewellerySet	139246
FaceCare	148613
WomenCasualShoe	150867
MensSweatshirt	177512
KidWristWatch	193596
MensTrouser	201365
WomenFlat	215254
MensWallet	220322
WristWatch	226770
WomenKurti	236385
WomenDress	264559
MenFormalShoe	283416
WomenLehengaCholi	284607
MensJacket	319074
WomenWristWatch	359853
Sunglass	388718
Backpack	392256
WomenTop	399841
MenSlipperFlipFlop	411880
WomenKurta	483706
Book	494397
WomenFabric	540783
MenSandalFloater	564586
MensJean	657929
MensCasualShirt	703633
WomenSari	934656
MenWristWatch	1174210
MenSportShoe	1177052
MensPoloTShirt	1572913
MenCasualShoe	2483490
